epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.2007,1.32069,2.0826,1.35344,0.58986,0.60945,0.55596,0.33197,1.38025,1.99628,1.39254,0.000554737,0.000554737,0.000554737
2,169.182,1.36222,1.71093,1.40214,0.62207,0.59555,0.57178,0.3495,1.37828,1.70922,1.41794,0.00108842,0.00108842,0.00108842
3,250.194,1.35536,1.61625,1.39732,0.56655,0.6788,0.61466,0.39388,1.31627,1.49911,1.38971,0.00160009,0.00160009,0.00160009
4,331.682,1.32427,1.54092,1.37653,0.5928,0.69707,0.64254,0.42021,1.2538,1.37981,1.31875,0.00156798,0.00156798,0.00156798
5,412.842,1.26562,1.44556,1.33858,0.67467,0.69155,0.69246,0.45671,1.19616,1.24236,1.28324,0.00153497,0.00153497,0.00153497
6,494.46,1.22729,1.38614,1.31947,0.62615,0.73825,0.68622,0.46381,1.18882,1.22985,1.26572,0.00150197,0.00150197,0.00150197
7,576.649,1.19726,1.31241,1.30036,0.60704,0.73531,0.67817,0.47364,1.1583,1.26528,1.27319,0.00146896,0.00146896,0.00146896
8,657.715,1.16675,1.29111,1.28585,0.67884,0.75741,0.74187,0.52529,1.0822,1.10879,1.2034,0.00143595,0.00143595,0.00143595
9,738.218,1.1618,1.23588,1.27565,0.67163,0.75645,0.7535,0.53202,1.13489,1.10682,1.22649,0.00140295,0.00140295,0.00140295
10,818.466,1.13209,1.2151,1.26405,0.69606,0.73972,0.76183,0.53771,1.08035,1.04337,1.19607,0.00136994,0.00136994,0.00136994
11,898.904,1.11805,1.17284,1.25099,0.70974,0.78194,0.78367,0.56266,1.05044,0.98786,1.17015,0.00133693,0.00133693,0.00133693
12,979.135,1.10171,1.15558,1.23915,0.70664,0.7795,0.79335,0.56885,1.03141,0.97581,1.15553,0.00130393,0.00130393,0.00130393
13,1059.91,1.10524,1.14264,1.24079,0.71393,0.76843,0.79675,0.57104,1.03922,0.97521,1.16114,0.00127092,0.00127092,0.00127092
14,1140.43,1.07953,1.09899,1.22825,0.7083,0.81565,0.82024,0.5903,1.01857,0.91844,1.14169,0.00123791,0.00123791,0.00123791
15,1220.9,1.06874,1.08801,1.21985,0.70876,0.77733,0.79487,0.57426,1.04363,0.95303,1.15712,0.00120491,0.00120491,0.00120491
16,1301.64,1.05743,1.07629,1.21221,0.7291,0.78556,0.80362,0.58497,1.01376,0.89232,1.14561,0.0011719,0.0011719,0.0011719
17,1382.6,1.05593,1.06203,1.21418,0.73863,0.77473,0.81614,0.59746,1.00788,0.90567,1.13307,0.00113889,0.00113889,0.00113889
